"","V1","V2","V3","V4","V5","V6","V7","center"
"122","일반",1.624,1.042,109,266,667,284,"양평 운영센터"
"123","기초수급",385,233,28,41,164,100,"양평 운영센터"
"124","의료급여",13,8,2,2,4,3,"양평 운영센터"
"125","경감",153,144,15,28,101,4,"양평 운영센터"
"126","합계",5.819,3.58,609,929,2.042,712,"수원서부 운영센터"
"127","일반",4.274,2.797,467,727,1.603,454,"수원서부 운영센터"
"128","기초수급",1.087,399,90,91,218,235,"수원서부 운영센터"
"129","의료급여",147,85,5,22,58,22,"수원서부 운영센터"
"130","경감",311,299,47,89,163,1,"수원서부 운영센터"
"131","합계",4.781,2.538,291,499,1.748,1.123,"성남북부 운영센터"
"132","일반",3.388,1.823,218,378,1.227,784,"성남북부 운영센터"
"133","기초수급",1.064,445,41,69,335,310,"성남북부 운영센터"
"134","의료급여",54,23,1,5,17,14,"성남북부 운영센터"
"135","경감",275,247,31,47,169,15,"성남북부 운영센터"
"136","합계",2.942,1.788,146,289,1.353,600,"양주 운영센터"
"137","일반",2.165,1.297,99,206,992,440,"양주 운영센터"
"138","기초수급",552,291,30,40,221,149,"양주 운영센터"
"139","의료급여",26,16,0,3,13,5,"양주 운영센터"
"140","경감",199,184,17,40,127,6,"양주 운영센터"
"141","합계",2.677,1.676,204,440,1.032,415,"안양만안 운영센터"
"142","일반",2.105,1.306,162,339,805,316,"안양만안 운영센터"
"143","기초수급",421,231,30,66,135,94,"안양만안 운영센터"
"144","의료급여",27,19,1,5,13,3,"안양만안 운영센터"
"145","경감",124,120,11,30,79,2,"안양만안 운영센터"
"146","합계",2.611,1.424,184,219,1.021,507,"부천남부 운영센터"
"147","일반",2.058,1.133,149,178,806,388,"부천남부 운영센터"
"148","기초수급",356,141,13,20,108,101,"부천남부 운영센터"
"149","의료급여",40,20,2,4,14,13,"부천남부 운영센터"
"150","경감",157,130,20,17,93,5,"부천남부 운영센터"
"151","합계",4.31,2.584,292,534,1.758,739,"시흥 운영센터"
"152","일반",3.257,2.003,223,410,1.37,551,"시흥 운영센터"
"153","기초수급",762,333,42,64,227,177,"시흥 운영센터"
"154","의료급여",59,31,2,5,24,10,"시흥 운영센터"
"155","경감",232,217,25,55,137,1,"시흥 운영센터"
"156","합계",3.169,2.027,250,424,1.353,525,"안성 운영센터"
"157","일반",2.328,1.57,205,349,1.016,342,"안성 운영센터"
"158","기초수급",638,274,23,41,210,177,"안성 운영센터"
"159","의료급여",25,14,2,2,10,4,"안성 운영센터"
"160","경감",178,169,20,32,117,2,"안성 운영센터"
"161","합계",1.738,1.062,124,254,684,240,"구리 운영센터"
"162","일반",1.214,783,96,194,493,157,"구리 운영센터"
"163","기초수급",398,172,13,37,122,82,"구리 운영센터"
"164","의료급여",25,18,3,3,12,1,"구리 운영센터"
"165","경감",101,89,12,20,57,0,"구리 운영센터"
"166","합계",2.62,1.427,242,329,856,503,"여주 운영센터"
"167","일반",1.94,1.08,187,248,645,345,"여주 운영센터"
"168","기초수급",501,193,30,48,115,151,"여주 운영센터"
"169","의료급여",18,6,0,0,6,6,"여주 운영센터"
"170","경감",161,148,25,33,90,1,"여주 운영센터"
"171","합계",6.479,4.149,442,869,2.838,984,"고양일산 운영센터"
"172","일반",5.375,3.439,379,730,2.33,798,"고양일산 운영센터"
"173","기초수급",737,397,36,64,297,167,"고양일산 운영센터"
"174","의료급여",61,33,2,3,28,12,"고양일산 운영센터"
"175","경감",306,280,25,72,183,7,"고양일산 운영센터"
"176","합계",4.949,2.878,344,586,1.948,941,"고양덕양 운영센터"
"177","일반",3.823,2.263,281,474,1.508,719,"고양덕양 운영센터"
"178","기초수급",836,373,44,61,268,196,"고양덕양 운영센터"
"179","의료급여",44,21,1,5,15,15,"고양덕양 운영센터"
"180","경감",246,221,18,46,157,11,"고양덕양 운영센터"
