"","대상자구분","계","X1등급","X2등급","X3등급","등급외","center"
"110","경감",93,"15","17",60,"1","김포 운영센터"
"111","합계",2.899,"389","593",1.34,"577","화성 운영센터"
"112","읷반",2.233,"297","462",1.049,"425","화성 운영센터"
"113","기초수급",482,"56","86",200,"140","화성 운영센터"
"114","의료급여",28,"3","2",17,"6","화성 운영센터"
"115","경감",156,"33","43",74,"6","화성 운영센터"
"116","합계",1.85,"246","360",808,"436","경기광주 운영센터"
"117","읷반",1.431,"202","284",628,"317","경기광주 운영센터"
"118","기초수급",321,"30","45",131,"115","경기광주 운영센터"
"119","의료급여",20,"7","5",7,"1","경기광주 운영센터"
"120","경감",78,"7","26",42,"3","경기광주 운영센터"
"121","합계",2.081,"236","393",816,"636","포천 운영센터"
"122","읷반",1.35,"165","268",543,"374","포천 운영센터"
"123","기초수급",562,"47","88",188,"239","포천 운영센터"
"124","의료급여",30,"3","6",10,"11","포천 운영센터"
"125","경감",139,"21","31",75,"12","포천 운영센터"
"126","합계",1.591,"171","372",709,"339","양평 운영센터"
"127","읷반",1.165,"136","290",510,"229","양평 운영센터"
"128","기초수급",312,"21","49",136,"106","양평 운영센터"
"129","의료급여",15,"2","1",9,"3","양평 운영센터"
"130","경감",99,"12","32",54,"1","양평 운영센터"
"131","합계",3.752,"680","719",1.594,"759","수원서부 운영센터"
"132","읷반",2.848,"524","574",1.258,"492","수원서부 운영센터"
"133","기초수급",598,"102","75",178,"243","수원서부 운영센터"
"134","의료급여",78,"8","16",32,"22","수원서부 운영센터"
"135","경감",228,"46","54",126,"2","수원서부 운영센터"
"136","합계",3.419,"376","671",1.524,"848","성남북부 운영센터"
"137","읷반",2.418,"283","507",1.081,"547","성남북부 운영센터"
"138","기초수급",766,"58","111",317,"280","성남북부 운영센터"
"139","의료급여",29,"1","6",13,"9","성남북부 운영센터"
"140","경감",206,"34","47",113,"12","성남북부 운영센터"
"141","합계",2.217,"245","458",1.07,"444","양주 운영센터"
"142","읷반",1.625,"176","343",792,"314","양주 운영센터"
"143","기초수급",424,"44","70",188,"122","양주 운영센터"
"144","의료급여",29,"7","1",18,"3","양주 운영센터"
"145","경감",139,"18","44",72,"5","양주 운영센터"
"146","합계",2.055,"244","446",930,"435","안양만안 운영센터"
"147","읷반",1.548,"180","341",712,"315","안양만안 운영센터"
"148","기초수급",367,"45","68",144,"110","안양만안 운영센터"
"149","의료급여",27,"2","6",12,"7","안양만안 운영센터"
"150","경감",113,"17","31",62,"3","안양만안 운영센터"
"151","합계",1.918,"208","293",946,"471","부천남부 운영센터"
"152","읷반",1.514,"182","240",757,"335","부천남부 운영센터"
"153","기초수급",249,"9","23",90,"127","부천남부 운영센터"
"154","의료급여",22,"4","11",7,"","부천남부 운영센터"
"155","경감",133,"17","26",88,"2","부천남부 운영센터"
"156","합계",2.93,"393","513",1.355,"669","시흥 운영센터"
"157","읷반",2.236,"313","400",1.061,"462","시흥 운영센터"
"158","기초수급",494,"45","67",191,"191","시흥 운영센터"
"159","의료급여",43,"7","5",16,"15","시흥 운영센터"
"160","경감",157,"28","41",87,"1","시흥 운영센터"
"161","합계",2.417,"289","485",1.046,"597","안성 운영센터"
"162","읷반",1.78,"227","390",783,"380","안성 운영센터"
"163","기초수급",489,"37","68",175,"209","안성 운영센터"
"164","의료급여",13,"1","2",6,"4","안성 운영센터"
"165","경감",135,"24","25",82,"4","안성 운영센터"
"166","합계",1.22,"156","231",541,"292","구리 운영센터"
"167","읷반",847,"122","190",370,"165","구리 운영센터"
"168","기초수급",289,"19","25",122,"123","구리 운영센터"
"169","의료급여",16,"3","4",7,"2","구리 운영센터"
"170","경감",68,"12","12",42,"2","구리 운영센터"
"171","합계",1.86,"253","309",720,"578","여주 운영센터"
"172","읷반",1.309,"190","246",519,"354","여주 운영센터"
"173","기초수급",431,"42","34",141,"214","여주 운영센터"
"174","의료급여",14,"3","1",3,"7","여주 운영센터"
"175","경감",106,"18","28",57,"3","여주 운영센터"
