"","sido","center","type","applicants","total","grade1","grade2","grade3","outer"
"41","서울","관악 운영센터","합계",4223,2354,293,498,1563,624
"42","서울","관악 운영센터","일반",3115,1776,233,375,1168,453
"43","서울","관악 운영센터","기초수급",866,384,38,82,264,157
"44","서울","관악 운영센터","의료급여",55,25,4,3,18,9
"45","서울","관악 운영센터","경감",187,169,18,38,113,5
"46","서울","서초 운영센터","합계",2581,1639,261,395,983,402
"47","서울","서초 운영센터","일반",2224,1426,235,344,847,328
"48","서울","서초 운영센터","기초수급",246,119,17,20,82,67
"49","서울","서초 운영센터","의료급여",33,20,1,7,12,6
"50","서울","서초 운영센터","경감",78,74,8,24,42,1
"51","서울","송파 운영센터","합계",4022,2240,337,510,1393,641
"52","서울","송파 운영센터","일반",3322,1812,279,430,1103,544
"53","서울","송파 운영센터","기초수급",513,271,35,52,184,84
"54","서울","송파 운영센터","의료급여",52,35,7,6,22,7
"55","서울","송파 운영센터","경감",135,122,16,22,84,6
"56","서울","마포 운영센터","합계",3150,1894,268,443,1183,425
"57","서울","마포 운영센터","일반",2531,1543,222,364,957,309
"58","서울","마포 운영센터","기초수급",441,199,25,35,139,109
"59","서울","마포 운영센터","의료급여",44,29,3,8,18,4
"60","서울","마포 운영센터","경감",134,123,18,36,69,3
"61","서울","종로 운영센터","합계",1458,813,139,187,487,132
"62","서울","종로 운영센터","일반",1134,651,116,149,386,83
"63","서울","종로 운영센터","기초수급",258,107,15,20,72,46
"64","서울","종로 운영센터","의료급여",19,13,3,2,8,1
"65","서울","종로 운영센터","경감",47,42,5,16,21,2
"66","서울","용산 운영센터","합계",1832,1104,218,272,614,148
"67","서울","용산 운영센터","일반",1375,881,180,223,478,112
"68","서울","용산 운영센터","기초수급",366,141,18,35,88,35
"69","서울","용산 운영센터","의료급여",20,11,2,3,6,1
"70","서울","용산 운영센터","경감",71,71,18,11,42,0
"71","서울","성동 운영센터","합계",2314,1469,217,367,885,220
"72","서울","성동 운영센터","일반",1820,1195,189,304,702,173
"73","서울","성동 운영센터","기초수급",365,164,14,34,116,38
"74","서울","성동 운영센터","의료급여",24,13,0,4,9,5
"75","서울","성동 운영센터","경감",105,97,14,25,58,4
"76","서울","중랑 운영센터","합계",3569,2264,370,574,1320,573
"77","서울","중랑 운영센터","일반",2461,1542,236,393,913,352
"78","서울","중랑 운영센터","기초수급",916,568,108,142,318,203
"79","서울","중랑 운영센터","의료급여",42,20,1,6,13,10
"80","서울","중랑 운영센터","경감",150,134,25,33,76,8
"81","서울","강북 운영센터","합계",3470,1731,241,413,1077,709
"82","서울","강북 운영센터","일반",2599,1286,165,317,804,539
"83","서울","강북 운영센터","기초수급",661,284,42,50,192,156
"84","서울","강북 운영센터","의료급여",60,30,8,7,15,5
"85","서울","강북 운영센터","경감",150,131,26,39,66,9
"86","서울","도봉 운영센터","합계",3884,2424,491,569,1364,591
"87","서울","도봉 운영센터","일반",3249,2007,417,470,1120,491
"88","서울","도봉 운영센터","기초수급",400,219,29,50,140,81
"89","서울","도봉 운영센터","의료급여",49,26,6,6,14,15
"90","서울","도봉 운영센터","경감",186,172,39,43,90,4
"91","서울","은평 운영센터","합계",4815,3251,507,826,1918,647
"92","서울","은평 운영센터","일반",3653,2469,406,596,1467,449
"93","서울","은평 운영센터","기초수급",908,571,73,159,339,185
"94","서울","은평 운영센터","의료급여",61,36,9,10,17,8
"95","서울","은평 운영센터","경감",193,175,19,61,95,5
"96","서울","강서 운영센터","합계",5254,3073,386,607,2080,1208
"97","서울","강서 운영센터","일반",3583,2122,282,453,1387,768
"98","서울","강서 운영센터","기초수급",1336,676,77,107,492,408
"99","서울","강서 운영센터","의료급여",74,40,3,5,32,17
"100","서울","강서 운영센터","경감",261,235,24,42,169,15
"101","서울","금천 운영센터","합계",2497,1371,171,330,870,449
"102","서울","금천 운영센터","일반",1749,1005,136,263,606,291
"103","서울","금천 운영센터","기초수급",599,243,24,47,172,143
"104","서울","금천 운영센터","의료급여",25,14,2,4,8,3
"105","서울","금천 운영센터","경감",124,109,9,16,84,12
"106","서울","동작 운영센터","합계",3081,1945,303,483,1159,361
"107","서울","동작 운영센터","일반",2296,1460,237,354,869,265
"108","서울","동작 운영센터","기초수급",597,326,42,90,194,90
"109","서울","동작 운영센터","의료급여",48,33,2,8,23,3
"110","서울","동작 운영센터","경감",140,126,22,31,73,3
"111","서울","강남 운영센터","합계",3443,2055,351,420,1284,555
"112","서울","강남 운영센터","일반",2462,1457,264,306,887,352
"113","서울","강남 운영센터","기초수급",803,457,68,83,306,181
"114","서울","강남 운영센터","의료급여",54,29,4,11,14,15
"115","서울","강남 운영센터","경감",124,112,15,20,77,7
"116","서울","강동 운영센터","합계",3686,2076,351,416,1309,756
"117","서울","강동 운영센터","일반",3133,1794,311,362,1121,614
"118","서울","강동 운영센터","기초수급",391,146,15,22,109,129
"119","서울","강동 운영센터","의료급여",37,20,4,4,12,11
"120","서울","강동 운영센터","경감",125,116,21,28,67,2
"121","서울","중구 운영센터","합계",1115,460,78,89,293,288
"122","서울","중구 운영센터","일반",783,339,63,71,205,204
"123","서울","중구 운영센터","기초수급",285,86,9,12,65,77
"124","서울","중구 운영센터","의료급여",18,8,2,1,5,6
"125","서울","중구 운영센터","경감",29,27,4,5,18,1
"126","부산","부산진구 운영센터","합계",4104,1859,156,333,1370,1368
"127","부산","부산진구 운영센터","일반",3056,1445,118,261,1066,941
"128","부산","부산진구 운영센터","기초수급",837,252,24,48,180,401
"129","부산","부산진구 운영센터","의료급여",58,23,3,4,16,20
"130","부산","부산진구 운영센터","경감",153,139,11,20,108,6
"131","부산","부산중부 운영센터","합계",4772,1879,157,445,1277,1504
"132","부산","부산중부 운영센터","일반",3018,1247,99,310,838,910
"133","부산","부산중부 운영센터","기초수급",1480,439,41,90,308,550
"134","부산","부산중부 운영센터","의료급여",72,32,2,8,22,22
"135","부산","부산중부 운영센터","경감",202,161,15,37,109,22
"136","부산","부산사하 운영센터","합계",3814,1554,194,339,1021,763
"137","부산","부산사하 운영센터","일반",2488,1037,114,232,691,463
"138","부산","부산사하 운영센터","기초수급",1141,381,61,81,239,290
"139","부산","부산사하 운영센터","의료급여",43,16,3,3,10,6
"140","부산","부산사하 운영센터","경감",142,120,16,23,81,4
"141","부산","부산동래 운영센터","합계",3156,1631,134,305,1192,720
"142","부산","부산동래 운영센터","일반",2473,1255,107,247,901,545
"143","부산","부산동래 운영센터","기초수급",510,232,16,38,178,163
"144","부산","부산동래 운영센터","의료급여",38,21,2,2,17,6
"145","부산","부산동래 운영센터","경감",135,123,9,18,96,6
"146","부산","부산사상 운영센터","합계",2625,973,138,244,591,752
"147","부산","부산사상 운영센터","일반",1707,636,84,159,393,474
"148","부산","부산사상 운영센터","기초수급",812,268,42,68,158,261
"149","부산","부산사상 운영센터","의료급여",38,7,1,2,4,14
"150","부산","부산사상 운영센터","경감",68,62,11,15,36,3
"151","부산","부산남부 운영센터","합계",5618,2620,306,496,1818,1156
"152","부산","부산남부 운영센터","일반",4357,2068,251,409,1408,890
"153","부산","부산남부 운영센터","기초수급",953,319,28,51,240,233
"154","부산","부산남부 운영센터","의료급여",82,35,3,2,30,21
"155","부산","부산남부 운영센터","경감",226,198,24,34,140,12
"156","부산","기장 운영센터","합계",1816,931,128,220,583,438
"157","부산","기장 운영센터","일반",1282,659,94,155,410,297
"158","부산","기장 운영센터","기초수급",410,163,17,37,109,135
"159","부산","기장 운영센터","의료급여",19,10,1,2,7,4
"160","부산","기장 운영센터","경감",105,99,16,26,57,2
"161","부산","부산연제 운영센터","합계",2455,1008,122,187,699,766
"162","부산","부산연제 운영센터","일반",1901,762,91,148,523,571
"163","부산","부산연제 운영센터","기초수급",446,164,19,27,118,187
"164","부산","부산연제 운영센터","의료급여",27,10,0,2,8,6
"165","부산","부산연제 운영센터","경감",81,72,12,10,50,2
"166","부산","부산서부 운영센터","합계",2022,894,83,179,632,509
"167","부산","부산서부 운영센터","일반",1331,552,46,119,387,326
"168","부산","부산서부 운영센터","기초수급",579,252,29,40,183,172
"169","부산","부산서부 운영센터","의료급여",24,13,2,3,8,6
"170","부산","부산서부 운영센터","경감",88,77,6,17,54,5
"171","부산","부산금정 운영센터","합계",3284,1614,223,398,993,817
"172","부산","부산금정 운영센터","일반",2379,1171,140,288,743,519
"173","부산","부산금정 운영센터","기초수급",740,312,68,73,171,281
"174","부산","부산금정 운영센터","의료급여",47,27,4,12,11,13
"175","부산","부산금정 운영센터","경감",118,104,11,25,68,4
"176","부산","부산북부 운영센터","합계",3949,1460,151,337,972,1066
"177","부산","부산북부 운영센터","일반",2461,1024,105,235,684,663
"178","부산","부산북부 운영센터","기초수급",1307,312,34,67,211,380
"179","부산","부산북부 운영센터","의료급여",62,22,2,6,14,17
"180","부산","부산북부 운영센터","경감",119,102,10,29,63,6
"181","부산","해운대 운영센터","합계",4304,1782,205,329,1248,1073
"182","부산","해운대 운영센터","일반",3074,1263,152,231,880,693
"183","부산","해운대 운영센터","기초수급",988,335,38,64,233,361
"184","부산","해운대 운영센터","의료급여",71,33,3,7,23,11
"185","부산","해운대 운영센터","경감",171,151,12,27,112,8
"186","대구","대구달서 운영센터","합계",5073,2450,291,507,1652,1281
"187","대구","대구달서 운영센터","일반",3464,1771,216,387,1168,853
"188","대구","대구달서 운영센터","기초수급",1260,436,41,77,318,373
"189","대구","대구달서 운영센터","의료급여",114,50,10,9,31,32
"190","대구","대구달서 운영센터","경감",235,193,24,34,135,23
"191","대구","대구중부 운영센터","합계",3773,1903,248,434,1221,1110
"192","대구","대구중부 운영센터","일반",2614,1365,174,324,867,713
"193","대구","대구중부 운영센터","기초수급",882,323,48,66,209,363
"194","대구","대구중부 운영센터","의료급여",74,31,6,6,19,25
"195","대구","대구중부 운영센터","경감",203,184,20,38,126,9
"196","대구","대구동부 운영센터","합계",4589,2586,352,554,1680,1087
"197","대구","대구동부 운영센터","일반",3107,1724,206,384,1134,742
"198","대구","대구동부 운영센터","기초수급",1136,587,107,113,367,309
"199","대구","대구동부 운영센터","의료급여",106,59,7,11,41,24
"200","대구","대구동부 운영센터","경감",240,216,32,46,138,12
"201","대구","달성 운영센터","합계",2052,1196,211,335,650,502
"202","대구","달성 운영센터","일반",1496,853,132,237,484,372
"203","대구","달성 운영센터","기초수급",455,259,62,69,128,120
"204","대구","달성 운영센터","의료급여",25,11,4,1,6,9
"205","대구","달성 운영센터","경감",76,73,13,28,32,1
"206","대구","대구남부 운영센터","합계",2514,1321,166,310,845,572
"207","대구","대구남부 운영센터","일반",1792,953,115,225,613,370
"208","대구","대구남부 운영센터","기초수급",525,223,35,50,138,177
"209","대구","대구남부 운영센터","의료급여",61,28,4,3,21,20
"210","대구","대구남부 운영센터","경감",136,117,12,32,73,5
"211","대구","대구북부 운영센터","합계",4237,2241,275,609,1357,1069
"212","대구","대구북부 운영센터","일반",3001,1608,197,443,968,725
"213","대구","대구북부 운영센터","기초수급",942,395,49,100,246,318
"214","대구","대구북부 운영센터","의료급여",66,39,7,13,19,15
"215","대구","대구북부 운영센터","경감",228,199,22,53,124,11
"216","대구","대구수성 운영센터","합계",4125,1849,230,446,1173,1162
"217","대구","대구수성 운영센터","일반",3014,1369,171,322,876,868
"218","대구","대구수성 운영센터","기초수급",924,354,46,87,221,264
"219","대구","대구수성 운영센터","의료급여",78,31,5,9,17,23
"220","대구","대구수성 운영센터","경감",109,95,8,28,59,7
"221","인천","인천중부 운영센터","합계",3018,1689,206,346,1137,697
"222","인천","인천중부 운영센터","일반",2169,1220,166,268,786,504
"223","인천","인천중부 운영센터","기초수급",649,297,26,43,228,177
"224","인천","인천중부 운영센터","의료급여",31,20,3,5,12,5
"225","인천","인천중부 운영센터","경감",169,152,11,30,111,11
"226","인천","인천남구 운영센터","합계",5041,2900,416,610,1874,1316
"227","인천","인천남구 운영센터","일반",3880,2221,312,481,1428,973
"228","인천","인천남구 운영센터","기초수급",844,423,61,79,283,310
"229","인천","인천남구 운영센터","의료급여",63,30,6,6,18,24
"230","인천","인천남구 운영센터","경감",254,226,37,44,145,9
"231","인천","인천연수구 운영센터","합계",2593,1607,209,433,965,581
"232","인천","인천연수구 운영센터","일반",1758,1141,162,310,669,337
"233","인천","인천연수구 운영센터","기초수급",692,348,38,81,229,229
"234","인천","인천연수구 운영센터","의료급여",38,21,1,5,15,10
"235","인천","인천연수구 운영센터","경감",105,97,8,37,52,5
"236","인천","인천계양 운영센터","합계",3178,1797,226,440,1131,781
"237","인천","인천계양 운영센터","일반",2490,1406,188,337,881,587
"238","인천","인천계양 운영센터","기초수급",486,231,24,58,149,170
"239","인천","인천계양 운영센터","의료급여",39,20,2,6,12,12
"240","인천","인천계양 운영센터","경감",163,140,12,39,89,12
"241","인천","인천서구 운영센터","합계",3588,2147,276,449,1422,639
"242","인천","인천서구 운영센터","일반",2722,1599,213,333,1053,458
"243","인천","인천서구 운영센터","기초수급",623,352,41,79,232,153
"244","인천","인천서구 운영센터","의료급여",52,25,2,9,14,18
"245","인천","인천서구 운영센터","경감",191,171,20,28,123,10
"246","인천","강화 운영센터","합계",2105,1207,130,330,747,637
"247","인천","강화 운영센터","일반",1456,855,95,242,518,394
"248","인천","강화 운영센터","기초수급",537,249,30,56,163,241
"249","인천","강화 운영센터","의료급여",8,5,NA,2,3,1
"250","인천","강화 운영센터","경감",104,98,5,30,63,1
"251","인천","인천남동 운영센터","합계",4618,2768,329,668,1771,1125
"252","인천","인천남동 운영센터","일반",3395,2039,240,495,1304,796
"253","인천","인천남동 운영센터","기초수급",954,509,67,111,331,302
"254","인천","인천남동 운영센터","의료급여",56,30,3,2,25,16
"255","인천","인천남동 운영센터","경감",213,190,19,60,111,11
"256","인천","인천부평 운영센터","합계",6350,3524,334,757,2433,1553
"257","인천","인천부평 운영센터","일반",4535,2524,240,543,1741,1048
"258","인천","인천부평 운영센터","기초수급",1437,698,65,142,491,470
"259","인천","인천부평 운영센터","의료급여",80,36,3,9,24,24
"260","인천","인천부평 운영센터","경감",298,266,26,63,177,11
"261","광주","광주북부 운영센터","합계",5679,2477,246,484,1747,1739
"262","광주","광주북부 운영센터","일반",4112,1785,175,350,1260,1225
"263","광주","광주북부 운영센터","기초수급",1181,409,41,72,296,463
"264","광주","광주북부 운영센터","의료급여",147,75,10,17,48,36
"265","광주","광주북부 운영센터","경감",239,208,20,45,143,15
"266","광주","광주서부 운영센터","합계",8028,3793,364,732,2697,2282
"267","광주","광주서부 운영센터","일반",5805,2735,274,550,1911,1581
"268","광주","광주서부 운영센터","기초수급",1662,656,54,115,487,605
"269","광주","광주서부 운영센터","의료급여",159,73,6,12,55,51
"270","광주","광주서부 운영센터","경감",402,329,30,55,244,45
"271","광주","광주동부 운영센터","합계",5973,2853,241,528,2084,1907
"272","광주","광주동부 운영센터","일반",4336,2048,176,390,1482,1333
"273","광주","광주동부 운영센터","기초수급",1233,506,37,80,389,509
"274","광주","광주동부 운영센터","의료급여",123,60,4,13,43,41
"275","광주","광주동부 운영센터","경감",281,239,24,45,170,24
"276","대전","대전동부 운영센터","합계",6416,2960,307,621,2032,1903
"277","대전","대전동부 운영센터","일반",4400,2094,221,449,1424,1204
"278","대전","대전동부 운영센터","기초수급",1597,579,54,126,399,635
"279","대전","대전동부 운영센터","의료급여",116,52,10,6,36,26
"280","대전","대전동부 운영센터","경감",303,235,22,40,173,38
"281","대전","대전유성 운영센터","합계",2639,1563,191,299,1073,644
"282","대전","대전유성 운영센터","일반",2125,1267,146,242,879,482
"283","대전","대전유성 운영센터","기초수급",363,176,33,38,105,147
"284","대전","대전유성 운영센터","의료급여",36,20,1,1,18,7
"285","대전","대전유성 운영센터","경감",115,100,11,18,71,8
"286","대전","대전중부 운영센터","합계",4487,2621,328,533,1760,804
"287","대전","대전중부 운영센터","일반",3469,2044,261,428,1355,580
"288","대전","대전중부 운영센터","기초수급",723,338,40,53,245,204
"289","대전","대전중부 운영센터","의료급여",67,39,7,9,23,11
"290","대전","대전중부 운영센터","경감",228,200,20,43,137,9
"291","대전","대전서부 운영센터","합계",5253,3002,315,592,2095,1146
"292","대전","대전서부 운영센터","일반",4187,2429,254,486,1689,873
"293","대전","대전서부 운영센터","기초수급",775,338,40,63,235,250
"294","대전","대전서부 운영센터","의료급여",68,33,3,5,25,13
"295","대전","대전서부 운영센터","경감",223,202,18,38,146,10
"296","울산","울산중부 운영센터","합계",2998,1574,171,296,1107,594
"297","울산","울산중부 운영센터","일반",2221,1216,129,250,837,391
"298","울산","울산중부 운영센터","기초수급",640,248,32,33,183,195
"299","울산","울산중부 운영센터","의료급여",24,9,1,1,7,5
"300","울산","울산중부 운영센터","경감",113,101,9,12,80,3
"301","울산","울산동부 운영센터","합계",1103,520,51,113,356,259
"302","울산","울산동부 운영센터","일반",826,411,43,93,275,173
"303","울산","울산동부 운영센터","기초수급",242,82,7,15,60,84
"304","울산","울산동부 운영센터","의료급여",10,5,NA,1,4,1
"305","울산","울산동부 운영센터","경감",25,22,1,4,17,1
"306","울산","울주 운영센터","합계",2380,1317,152,263,902,478
"307","울산","울주 운영센터","일반",1713,942,99,190,653,324
"308","울산","울주 운영센터","기초수급",552,279,45,55,179,145
"309","울산","울주 운영센터","의료급여",22,10,1,2,7,6
"310","울산","울주 운영센터","경감",93,86,7,16,63,3
"311","울산","울산남부 운영센터","합계",2009,879,91,185,603,339
"312","울산","울산남부 운영센터","일반",1544,732,80,158,494,216
"313","울산","울산남부 운영센터","기초수급",388,91,5,17,69,115
"314","울산","울산남부 운영센터","의료급여",23,8,2,1,5,6
"315","울산","울산남부 운영센터","경감",54,48,4,9,35,2
"316","경기","수원동부 운영센터","합계",3195,1831,299,444,1088,574
"317","경기","수원동부 운영센터","일반",2475,1533,250,383,900,405
"318","경기","수원동부 운영센터","기초수급",563,176,30,25,121,156
"319","경기","수원동부 운영센터","의료급여",44,18,2,4,12,9
"320","경기","수원동부 운영센터","경감",113,104,17,32,55,4
"321","경기","성남남부 운영센터","합계",3723,2193,418,495,1280,545
"322","경기","성남남부 운영센터","일반",2907,1780,356,421,1003,390
"323","경기","성남남부 운영센터","기초수급",659,290,36,48,206,142
"324","경기","성남남부 운영센터","의료급여",31,9,4,2,3,9
"325","경기","성남남부 운영센터","경감",126,114,22,24,68,4
"326","경기","의정부 운영센터","합계",5246,3061,338,647,2076,1229
"327","경기","의정부 운영센터","일반",3840,2250,250,489,1511,886
"328","경기","의정부 운영센터","기초수급",1038,499,53,98,348,314
"329","경기","의정부 운영센터","의료급여",57,32,1,8,23,9
"330","경기","의정부 운영센터","경감",311,280,34,52,194,20
"331","경기","안양동안 운영센터","합계",2529,1521,220,339,962,413
"332","경기","안양동안 운영센터","일반",2138,1295,182,297,816,341
"333","경기","안양동안 운영센터","기초수급",266,122,18,17,87,65
"334","경기","안양동안 운영센터","의료급여",32,16,2,1,13,6
"335","경기","안양동안 운영센터","경감",93,88,18,24,46,1
"336","경기","부천북부 운영센터","합계",7376,4610,467,922,3221,1619
"337","경기","부천북부 운영센터","일반",5662,3568,354,733,2481,1174
"338","경기","부천북부 운영센터","기초수급",1174,570,70,98,402,409
"339","경기","부천북부 운영센터","의료급여",82,41,1,11,29,22
"340","경기","부천북부 운영센터","경감",458,431,42,80,309,14
"341","경기","광명 운영센터","합계",2828,1511,162,301,1048,562
"342","경기","광명 운영센터","일반",2160,1128,130,228,770,414
"343","경기","광명 운영센터","기초수급",488,234,19,44,171,134
"344","경기","광명 운영센터","의료급여",51,30,3,8,19,9
"345","경기","광명 운영센터","경감",129,119,10,21,88,5
"346","경기","평택 운영센터","합계",3912,2097,197,445,1455,1015
"347","경기","평택 운영센터","일반",2976,1588,147,346,1095,755
"348","경기","평택 운영센터","기초수급",720,336,32,60,244,240
"349","경기","평택 운영센터","의료급여",42,14,2,4,8,16
"350","경기","평택 운영센터","경감",174,159,16,35,108,4
"351","경기","동두천 운영센터","합계",2283,1591,221,329,1041,421
"352","경기","동두천 운영센터","일반",1503,1049,147,232,670,258
"353","경기","동두천 운영센터","기초수급",507,312,43,51,218,133
"354","경기","동두천 운영센터","의료급여",114,85,9,13,63,18
"355","경기","동두천 운영센터","경감",159,145,22,33,90,12
"356","경기","연천 운영센터","합계",987,604,81,112,411,236
"357","경기","연천 운영센터","일반",569,330,45,71,214,141
"358","경기","연천 운영센터","기초수급",336,206,26,33,147,85
"359","경기","연천 운영센터","의료급여",32,21,4,1,16,8
"360","경기","연천 운영센터","경감",50,47,6,7,34,2
"361","경기","안산 운영센터","합계",6504,3349,394,670,2285,1495
"362","경기","안산 운영센터","일반",4903,2470,276,503,1691,1114
"363","경기","안산 운영센터","기초수급",1195,539,73,95,371,347
"364","경기","안산 운영센터","의료급여",57,32,5,7,20,10
"365","경기","안산 운영센터","경감",349,308,40,65,203,24
"366","경기","과천 운영센터","합계",560,327,46,56,225,128
"367","경기","과천 운영센터","일반",450,269,38,46,185,91
"368","경기","과천 운영센터","기초수급",93,41,5,9,27,37
"369","경기","과천 운영센터","의료급여",2,2,NA,0,2,0
"370","경기","과천 운영센터","경감",15,15,3,1,11,0
"371","경기","남양주 운영센터","합계",5345,3371,449,911,2011,875
"372","경기","남양주 운영센터","일반",4224,2614,350,716,1548,681
"373","경기","남양주 운영센터","기초수급",745,423,59,96,268,179
"374","경기","남양주 운영센터","의료급여",59,39,2,14,23,11
"375","경기","남양주 운영센터","경감",317,295,38,85,172,4
"376","경기","가평 운영센터","합계",1571,982,149,198,635,331
"377","경기","가평 운영센터","일반",853,496,57,96,343,174
"378","경기","가평 운영센터","기초수급",629,404,86,89,229,153
"379","경기","가평 운영센터","의료급여",16,13,1,3,9,2
"380","경기","가평 운영센터","경감",73,69,5,10,54,2
"381","경기","오산 운영센터","합계",1284,818,114,175,529,223
"382","경기","오산 운영센터","일반",988,630,88,146,396,157
"383","경기","오산 운영센터","기초수급",216,117,14,17,86,63
"384","경기","오산 운영센터","의료급여",17,13,2,1,10,2
"385","경기","오산 운영센터","경감",63,58,10,11,37,1
"386","경기","군포 운영센터","합계",2399,1392,183,381,828,559
"387","경기","군포 운영센터","일반",1837,1144,153,319,672,320
"388","경기","군포 운영센터","기초수급",404,122,14,25,83,222
"389","경기","군포 운영센터","의료급여",40,17,2,5,10,12
"390","경기","군포 운영센터","경감",118,109,14,32,63,5
"391","경기","의왕 운영센터","합계",1266,746,133,194,419,206
"392","경기","의왕 운영센터","일반",1090,641,117,165,359,176
"393","경기","의왕 운영센터","기초수급",111,54,5,15,34,23
"394","경기","의왕 운영센터","의료급여",18,9,2,2,5,5
"395","경기","의왕 운영센터","경감",47,42,9,12,21,2
"396","경기","하남 운영센터","합계",1517,1012,143,313,556,288
"397","경기","하남 운영센터","일반",1175,792,112,259,421,204
"398","경기","하남 운영센터","기초수급",259,146,22,33,91,80
"399","경기","하남 운영센터","의료급여",6,5,NA,2,3,1
"400","경기","하남 운영센터","경감",77,69,9,19,41,3
"401","경기","용인 운영센터","합계",8103,5401,939,1210,3252,879
"402","경기","용인 운영센터","일반",6926,4598,805,1035,2758,750
"403","경기","용인 운영센터","기초수급",696,369,65,69,235,111
"404","경기","용인 운영센터","의료급여",80,48,8,11,29,16
"405","경기","용인 운영센터","경감",401,386,61,95,230,2
"406","경기","파주 운영센터","합계",4400,2470,207,501,1762,1051
"407","경기","파주 운영센터","일반",3263,1836,157,388,1291,778
"408","경기","파주 운영센터","기초수급",853,385,34,67,284,253
"409","경기","파주 운영센터","의료급여",63,42,3,8,31,11
"410","경기","파주 운영센터","경감",221,207,13,38,156,9
"411","경기","이천 운영센터","합계",2556,1551,261,344,946,515
"412","경기","이천 운영센터","일반",1925,1163,203,263,697,357
"413","경기","이천 운영센터","기초수급",478,253,38,51,164,152
"414","경기","이천 운영센터","의료급여",22,13,1,1,11,2
"415","경기","이천 운영센터","경감",131,122,19,29,74,4
"416","경기","김포 운영센터","합계",2377,1461,190,284,987,515
"417","경기","김포 운영센터","일반",1843,1118,142,227,749,391
"418","경기","김포 운영센터","기초수급",400,221,26,40,155,117
"419","경기","김포 운영센터","의료급여",24,18,5,2,11,4
"420","경기","김포 운영센터","경감",110,104,17,15,72,3
"421","경기","화성 운영센터","합계",3923,2461,341,569,1551,638
"422","경기","화성 운영센터","일반",3061,1909,262,437,1210,495
"423","경기","화성 운영센터","기초수급",638,348,46,89,213,133
"424","경기","화성 운영센터","의료급여",36,24,2,5,17,7
"425","경기","화성 운영센터","경감",188,180,31,38,111,3
"426","경기","경기광주 운영센터","합계",2375,1451,179,376,896,474
"427","경기","경기광주 운영센터","일반",1851,1143,144,307,692,346
"428","경기","경기광주 운영센터","기초수급",380,188,23,35,130,119
"429","경기","경기광주 운영센터","의료급여",45,27,8,9,10,6
"430","경기","경기광주 운영센터","경감",99,93,4,25,64,3
"431","경기","포천 운영센터","합계",2747,1557,190,397,970,605
"432","경기","포천 운영센터","일반",1882,1061,133,272,656,375
"433","경기","포천 운영센터","기초수급",652,311,38,76,197,216
"434","경기","포천 운영센터","의료급여",58,37,4,10,23,11
"435","경기","포천 운영센터","경감",155,148,15,39,94,3
"436","경기","양평 운영센터","합계",1981,1309,151,352,806,372
"437","경기","양평 운영센터","일반",1446,939,111,260,568,263
"438","경기","양평 운영센터","기초수급",384,226,20,58,148,106
